Energy_keV,Counts_Normalized
0.385,0.0
1.155,0.0
1.925,0.0
2.6950000000000003,0.0
3.465,1.4936e-320
4.235,6.606556739788788e-270
5.005000000000001,1.152893248180464e-223
5.775,7.936348744077969e-182
6.545,2.155113327847025e-144
7.3149999999999995,2.3085389323426677e-111
8.085,9.754881875574e-83
8.855,1.6260150003074975e-58
9.625,1.0691651689646457e-38
10.395,2.7732101271473666e-23
11.165000000000001,2.8375170140091875e-12
11.935,1.1452809100136909e-05
12.705,0.001837265950039808
13.475,0.0022165728868600017
14.245000000000001,0.0018601629872933827
15.015,0.002227575248114393
15.785,0.0018693962405511404
16.555,0.002238632218152527
17.325000000000003,0.0018786753247206527
18.095,0.0022497440714483786
18.865000000000002,0.0018880004672918872
19.634999999999998,0.002260911080424858
20.405,0.0018973718968839965
21.175,0.002272133518857098
21.945,0.0019067898432509282
22.715000000000003,0.0022834116618791625
23.485,0.0019162545372870537
24.255000000000003,0.0022947457859907937
25.025,0.0019257662110328264
25.795,0.0023061361690641896
26.564999999999998,0.001935325097680479
27.335,0.002317583090350815
28.105,0.0019449314315797342
28.875,0.0023290868304882534
29.645000000000003,0.001954585448243552
30.415,0.0023406476715070804
31.185000000000002,0.001964287384353902
31.955000000000002,0.0023522658968377808
32.725,0.0019740374777675687
33.495000000000005,0.0023639417913176998
34.265,0.0019838359675219833
35.035,0.0023756756411980216
35.805,0.001993683093841072
36.575,0.0023874677341507913
37.345,0.002003579098141174
38.115,0.0023993183592759633
38.885000000000005,0.002013524223658168
39.655,0.002413735271349849
40.425,0.0024202438464303445
41.195,0.0020289911466573815
41.965,0.0024297496974373185
42.735,0.0020390624082012336
43.505,0.0024418101966853113
44.275000000000006,0.0020491836608827994
45.045,0.002453930560388589
45.815,0.0020593551522208346
46.585,0.002466111085695127
47.355000000000004,0.0020695771315839373
48.125,0.0024783520712278635
48.894999999999996,0.0020798498495784926
49.665000000000006,0.002490653817091985
50.435,0.0020901735586997122
51.205,0.0025056195413980893
51.975,0.0025123758800496042
52.745000000000005,0.002106229264962171
53.515,0.0025222435926871133
54.285,0.002116683911762228
55.055,0.002534763202005281
55.825,0.0021271904527252633
56.595,0.0025473449546540706
57.365,0.0021377491454519573
58.135000000000005,0.0025626513220192507
58.905,0.002569561445400417
59.675,0.002154170304450619
60.445,0.002579653762457337
61.215,0.002164862915200478
61.985,0.0025924583374697416
62.755,0.0021756086013048196
63.525000000000006,0.002605326470291194
64.295,0.002186407626227722
65.065,0.002620981234278945
65.83500000000001,0.0026280486427683373
66.60499999999999,0.002203202556232747
67.375,0.00263837067658905
68.14500000000001,0.002214138547360384
68.91499999999999,0.0026514667035561503
69.685,0.002225128822606283
70.45500000000001,0.0026673987128221213
71.225,0.0026745912848485944
71.995,0.0022422211901865774
72.765,0.002685096121497935
73.535,0.002253350857303525
74.305,0.0026984240786073702
75.075,0.0022645357699084263
75.845,0.0027146382431549507
76.61500000000001,0.002721958195360019
77.38499999999999,0.002281930842672194
78.155,0.0027326490722691596
78.92500000000001,0.0022932576164804504
79.695,0.0027490688863598504
80.465,0.0027564816799087936
81.23500000000001,0.002310873316631813
82.005,0.0027673081527005037
82.775,0.002322343751610625
83.545,0.0027839362246545995
84.315,0.002791443037084506
85.08500000000001,0.002340182877438777
85.855,0.0028024068255656223
86.625,0.0023517987956896847
87.39500000000001,0.002819245796785609
88.16499999999999,0.002826847820568644
88.935,0.002369864180975434
89.70500000000001,0.002837950666358893
90.475,0.002381627427710282
91.245,0.0028550032117490155
92.015,0.0028627016544818602
92.785,0.0023999219429166694
93.555,0.0028769339709334234
94.325,0.002884691549394373
95.095,0.0024183569870437254
95.86500000000001,0.002899033191644051
96.63499999999999,0.002906850360085276
97.405,0.002436933640298097
98.17500000000001,0.002921302167921176
98.945,0.002929179384084197
99.715,0.00245565299045288
100.48500000000001,0.0029437422045049794
101.255,0.002954746251268708
102.025,0.0029596624961443795
102.795,0.0024812082513714544
103.565,0.0029743768660473882
104.33500000000001,0.0029823971967688824
105.105,0.0025002676977578064
105.875,0.0029972245969055833
106.64500000000001,0.003008428567775875
107.41499999999999,0.0030165646061200437
108.185,0.0030215837064941366
108.95500000000001,0.0025331193791621677
109.725,0.003036605927010022
110.495,0.0030479571098295803
111.265,0.0030562000505305743
112.035,0.0030644652827836252
112.805,0.0030727528676520424
113.575,0.003081062865586564
114.345,0.0030893953372014065
115.11500000000001,0.003097750343274734
115.88499999999999,0.003106127944749056
116.655,0.0031145282027317004
117.42500000000001,0.0031229511784952872
118.195,0.0031313969334780915
118.965,0.0031398655292845692
119.73500000000001,0.003148357028497838
120.505,0.0031601490466230888
121.275,0.0036872625239056014
122.045,0.0031786672877493274
122.815,0.0031872918734341055
123.58500000000001,0.0037189327794010987
124.355,0.0032092942765341533
125.125,0.0037440940922046305
125.89500000000001,0.0037558799441935096
126.66499999999999,0.0032383165434400818
127.435,0.0037779526576698663
128.205,0.003796599385403659
128.97500000000002,0.004343025492281974
129.745,0.0038256877032365505
130.515,0.0043724484334567455
131.28500000000003,0.0038550311795821058
132.055,0.004950899072184309
132.825,0.004433669787236329
133.595,0.004999289365702201
134.365,0.005575086727507052
135.135,0.005610693478790523
135.905,0.006761449385357954
136.675,0.008520330233988883
137.445,0.013654117706570008
138.215,0.008627058353164388
138.985,5.364966480170006e-05
139.755,1.3292094620025016e-11
140.525,1.2990854761086942e-22
141.29500000000002,5.008408591061922e-38
142.065,7.616921812585953e-58
142.835,4.5695871516034137e-82
143.60500000000002,1.0814144116512115e-110
144.375,1.0095435597070005e-143
145.14499999999998,3.7177115739865275e-181
145.91500000000002,5.4006252881830455e-223
146.685,3.094782405319077e-269
147.45499999999998,6.996e-320
148.22500000000002,0.0
148.995,0.0
149.765,0.0
150.53500000000003,0.0
151.305,0.0
152.075,0.0
152.845,0.0
153.615,0.0
